inhale,exhale,repeat
ഓം നമോ,ക്രോധരൂപായ നമഃ,1
ഓം നമോ,നൃകേസരയേ നമഃ,1
ഓം നമോ,വാമനായ നമഃ,1
ഓം നമോ,ഭാർഗവായ നമഃ,1
ഓം നമോ,രാമായ നമഃ,1
ഓം നമോ,ബലയേ നമഃ,1
ഓം നമോ,കൽകിനേ നമഃ,1
ഓം നമോ,ഹയാനനായ നമഃ,1
ഓം നമോ,വിശ്വംഭരായ നമഃ,1
ഓം നമോ,ശിശുമാരായ നമഃ,1
ഓം നമോ,ശ്രീകരായ നമഃ,1
ഓം നമോ,കപിലായ നമഃ,1
ഓം നമോ,ധ്രുവായ നമഃ,1
ഓം നമോ,ദത്താത്രേയായ നമഃ,1
ഓം നമോ,അച്യുതായ നമഃ,1
ഓം നമോ,അനന്തായ നമഃ,1
ഓം നമോ,മുകുന്ദായ നമഃ,1
ഓം നമോ,ദധിവാമനായ നമഃ,1
ഓം നമോ,ധന്വന്തരയേ നമഃ,1
ഓം നമോ,ശ്രീനിവാസായ നമഃ,1
ഓം നമോ,പ്രദ്യുമ്നായ നമഃ,1
ഓം നമോ,പുരുഷോത്തമായ നമഃ,1
ഓം നമോ,ശ്രീവത്സകൗസ്തുഭധരായ നമഃ,1
ഓം നമോ,മുരാരാതയേ നമഃ,1
ഓം നമോ,അധോക്ഷജായ നമഃ,1
ഓം നമോ,ഋഷഭായ നമഃ,1
ഓം നമോ,മോഹിനീരൂപധരായ നമഃ,1
ഓം നമോ,സങ്കർഷണായ നമഃ,1
ഓം നമോ,പൃഥ്വ്യൈ നമഃ,1
ഓം നമോ,ക്ഷീരാബ്ധിശായിനേ നമഃ,1
ഓം നമോ,ഭൂതാത്മനേ നമഃ,1
ഓം നമോ,അനിരുദ്ധായ നമഃ,1
ഓം നമോ,ഭക്തവത്സലായ നമഃ,1
ഓം നമോ,നരായ നമഃ,1
ഓം നമോ,ഗജേന്ദ്രവരദായ നമഃ,1
ഓം നമോ,ത്രിധാമ്നേ നമഃ,1
ഓം നമോ,ഭൂതഭാവനായ നമഃ,1
ഓം നമോ,ശ്വേതദ്വീപസുവാസ്തവ്യായ നമഃ,1
ഓം നമോ,സന്കാദിമുനിധേയനായ നമഃ,1
ഓം നമോ,ഭാഗവതായ നമഃ,1
ഓം നമോ,ശങ്കരപ്രിയായ നമഃ,1
ഓം നമോ,നീലകണ്ഠായ നമഃ,1
ഓം നമോ,ധാരകണ്ഠായ നമഃ,1
ഓം നമോ,വേദാത്മനേ നമഃ,1
ഓം നമോ,ബാദരായണായ നമഃ,1
ഓം നമോ,ഭാഗീരഥിജന്മഭൂമിപാദപദ്മായ നമഃ,1
ഓം നമോ,ശതംപ്രഭവേ നമഃ,1
ഓം നമോ,സ്വഭുവേ നമഃ,1
ഓം നമോ,വിഭവായ നമഃ,1
ഓം നമോ,ഘനശ്യാമായ നമഃ,1
ഓം നമോ,ജഗത്കാരണായ നമഃ,1
ഓം നമോ,അവ്യയായ നമഃ,1
ഓം നമോ,ബുദ്ധാവതാരായ നമഃ,1
ഓം നമോ,ശാന്താത്മനേ നമഃ,1
ഓം നമോ,ദാമോദരായ നമഃ,1
ഓം നമോ,ലീലാമനുഷ്യവിഗ്രഹായ നമഃ,1
ഓം നമോ,വിരാട്രൂപായ നമഃ,1
ഓം നമോ,ഭൂതഭാവ്യഭവത്പ്രഭവേ നമഃ,1
ഓം നമോ,ആദിദേവായ നമഃ,1
ഓം നമോ,ദേവദേവായ നമഃ,1
ഓം നമോ,പ്രഹ്ലാദപരിപാലകായ നമഃ,1
ഓം നമോ,ശ്രീമഹാവിഷ്ണവേ നമഃ,1
